reseller_id,name,phone,signup_date,state,city_tier,age_group,primary_category,monthly_gmv,monthly_orders,avg_order_value,return_rate,support_tickets,whatsapp_active,tenure_days,days_since_last_order,churn_label
MSH000001,Vedant Vig,+914808909869,2022-04-13,West Bengal,2,18-25,Kitchen,12975.3,18,720.85,0.2404,1,0,627,22,0
MSH000002,Yatin Tak,+910969524392,2023-03-12,Odisha,3,36-45,Beauty,8625.33,6,1437.56,0.2967,2,0,294,16,0
MSH000003,Varsha Banerjee,7948052026,2022-09-28,Madhya Pradesh,3,26-35,Fashion,12729.4,15,848.63,0.2249,0,1,459,5,0
MSH000004,Nachiket Rout,+915379564874,2022-04-17,Uttar Pradesh,1,18-25,Home Decor,25997.26,31,838.62,0.0672,3,1,623,23,0
MSH000005,Upkaar Purohit,5328385451,2022-03-13,Maharashtra,2,36-45,Home Decor,7477.11,9,830.79,0.1286,1,0,658,11,0
MSH000006,Farhan Kurian,6197459267,2022-01-21,Madhya Pradesh,3,18-25,Fashion,25173.54,28,899.06,0.1731,3,1,709,0,0
MSH000007,Tarak Aurora,08450768219,2022-05-02,Uttar Pradesh,2,26-35,Fashion,3043.27,3,1014.42,0.1314,1,1,608,13,0
MSH000008,Vrinda Sur,1444832197,2023-04-12,West Bengal,3,36-45,Fashion,15522.68,20,776.13,0.208,0,1,263,26,0
MSH000009,Jacob Chana,08370490766,2022-08-03,West Bengal,1,18-25,Kitchen,31931.77,46,694.17,0.3118,0,1,515,19,0
MSH000010,Aarini Morar,2126336281,2022-11-27,Uttar Pradesh,3,26-35,Fashion,21365.22,28,763.04,0.0975,0,0,399,18,0
MSH000011,Aarush Dalal,3146932361,2023-04-04,Tamil Nadu,3,18-25,Home Decor,10393.53,9,1154.84,0.2279,0,1,271,23,0
MSH000012,Thomas Mall,+913507167625,2022-03-29,Karnataka,2,36-45,Home Decor,11525.19,15,768.35,0.2996,1,1,642,7,0
MSH000013,Hitesh Pandit,+915865626801,2023-01-08,Tamil Nadu,2,36-45,Fashion,1930.6,3,643.53,0.3659,0,1,357,16,0
MSH000014,Champak Brar,05996385372,2022-04-10,Karnataka,2,36-45,Fashion,13605.2,13,1046.55,0.2806,2,1,630,253,1
MSH000015,Yug Kota,+914017073790,2022-05-11,Tamil Nadu,2,26-35,Fashion,13858.21,29,477.87,0.316,2,1,599,214,1
MSH000016,Yuvraj Om,+913756508974,2022-11-05,Madhya Pradesh,3,26-35,Kitchen,7358.1,9,817.57,0.4457,0,0,421,4,0
MSH000017,Anthony Varughese,6505121745,2022-12-10,Karnataka,2,26-35,Home Decor,20230.71,24,842.95,0.317,4,0,386,18,0
MSH000018,Kamala Comar,+916621209102,2023-05-07,Bihar,3,36-45,Kitchen,8385.36,11,762.31,0.2019,1,1,238,21,0
MSH000019,Inaya Natt,+914610544719,2023-02-18,Uttar Pradesh,3,26-35,Kitchen,81054.84,74,1095.34,0.0355,1,0,316,74,1
MSH000020,Faraj Sachdeva,03995943798,2023-01-21,Uttar Pradesh,1,26-35,Home Decor,8309.49,6,1384.92,0.1508,1,0,344,10,0
MSH000021,Dominic Verma,05842600995,2022-07-11,Odisha,3,26-35,Electronics,12048.54,13,926.81,0.1583,1,0,538,29,0
MSH000022,Ekiya Kara,05869054740,2022-10-04,West Bengal,3,26-35,Fashion,4180.48,6,696.75,0.2139,0,0,453,3,0
MSH000023,Max Sahota,08705544494,2022-06-10,Madhya Pradesh,2,36-45,Beauty,7286.76,9,809.64,0.1964,5,1,569,17,0
MSH000024,Shaurya Chowdhury,+913573429587,2023-04-05,Tamil Nadu,3,26-35,Home Decor,11596.54,15,773.1,0.3139,2,0,270,87,1
MSH000025,Hardik Tata,8774912333,2022-11-10,West Bengal,2,26-35,Fashion,7857.09,14,561.22,0.4414,1,1,416,1,0
MSH000026,Ansh Radhakrishnan,2906213564,2022-01-22,West Bengal,1,26-35,Home Decor,6177.98,7,882.57,0.2841,0,1,708,10,0
MSH000027,Geetika Sanghvi,+911576131916,2022-09-10,Bihar,2,36-45,Home Decor,33254.49,47,707.54,0.1196,2,1,477,15,0
MSH000028,Meera Prabhu,07621329468,2023-04-20,Karnataka,2,26-35,Fashion,9745.9,16,609.12,0.283,0,1,255,106,1
MSH000029,Wridesh Chaudhary,2424614819,2022-02-28,Uttar Pradesh,3,36-45,Beauty,15214.62,15,1014.31,0.0997,1,0,671,11,0
MSH000030,Lavanya Wali,01534916960,2023-05-26,Madhya Pradesh,3,26-35,Fashion,9776.72,3,3258.91,0.2431,2,1,219,145,1
MSH000031,Gaurangi Misra,9879168925,2023-04-21,Madhya Pradesh,1,18-25,Fashion,51832.99,63,822.75,0.2181,0,1,254,20,0
MSH000032,Dhruv Prasad,5014519438,2022-07-09,Uttar Pradesh,3,26-35,Kitchen,5557.92,7,793.99,0.3549,2,0,540,322,1
MSH000033,Gunbir Vig,04445901094,2022-09-01,Maharashtra,3,26-35,Fashion,57208.94,75,762.79,0.0736,1,1,486,12,0
MSH000034,Bhavya Misra,04466356201,2023-05-20,Gujarat,2,45+,Home Decor,37731.36,50,754.63,0.1534,3,0,225,20,0
MSH000035,Chandani Srinivas,03130182723,2022-05-11,Maharashtra,3,45+,Fashion,6624.82,11,602.26,0.2541,1,1,599,2,0
MSH000036,Aradhana Chada,+919921508296,2023-04-30,West Bengal,2,26-35,Fashion,13464.77,10,1346.48,0.4267,1,0,245,4,0
MSH000037,Ganga Bhagat,02669503172,2022-01-21,Uttar Pradesh,3,18-25,Fashion,4287.78,8,535.97,0.1713,2,0,709,64,1
MSH000038,Onkar Rastogi,+916954010091,2022-06-16,Maharashtra,2,36-45,Home Decor,5559.51,4,1389.88,0.2659,1,1,563,255,1
MSH000039,Eta Nair,8609577614,2022-10-01,Karnataka,3,26-35,Fashion,16007.18,13,1231.32,0.37,4,1,456,0,0
MSH000040,Utkarsh Sule,06161033493,2023-01-23,Rajasthan,3,18-25,Fashion,17998.08,27,666.6,0.3657,1,1,342,17,0
MSH000041,Triveni Pathak,5245919139,2022-11-12,Gujarat,3,36-45,Home Decor,8212.39,9,912.49,0.1989,0,0,414,342,1
MSH000042,Mason Mukherjee,5014981375,2022-01-14,Bihar,1,26-35,Fashion,16835.07,19,886.06,0.0558,4,0,716,10,0
MSH000043,Amruta Sehgal,+918455465408,2022-08-30,Rajasthan,3,26-35,Beauty,10856.54,14,775.47,0.2121,1,1,488,24,0
MSH000044,Avi Mishra,+915199776804,2022-12-12,West Bengal,2,45+,Beauty,19827.71,20,991.39,0.3122,2,1,384,10,0
MSH000045,Nandini Master,+912976989153,2022-12-06,West Bengal,3,18-25,Fashion,23679.24,17,1392.9,0.0468,0,1,390,18,0
MSH000046,Geetika Mangat,05305444155,2022-04-02,Odisha,3,45+,Beauty,13616.25,21,648.39,0.1175,1,0,638,1,0
MSH000047,Henry Narasimhan,5701721430,2023-01-02,Rajasthan,3,26-35,Fashion,22633.16,21,1077.77,0.3067,2,1,363,260,1
